Info 0    [11:53:22.206] Starting TS Server
Info 91   [11:55:17.468] Different program with same set of files
Info 92   [11:55:17.496] getCompletionData: Get current token: 0.023889000061899424
Info 93   [11:55:17.496] getCompletionData: Is inside comment: 0.04350899998098612
Info 94   [11:55:17.496] getCompletionData: Get previous token: 0.08287899987772107
Info 95   [11:55:17.496] getCompletionsAtPosition: isCompletionListBlocker: 0.006210000021383166
Info 96   [11:55:17.510] getExportInfoMap: cache hit
Info 97   [11:55:17.528] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 3 from cache
Info 98   [11:55:17.528] collectAutoImports: response is complete
Info 99   [11:55:17.528] collectAutoImports: 6.1040809999685735
Info 100  [11:55:17.528] getCompletionData: Semantic work: 32.09367599990219
Info 101  [11:55:17.541] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.412867000093684
Info 102  [11:55:17.545] getCompletionData: Get current token: 0.024458999978378415
Info 103  [11:55:17.545] getCompletionData: Is inside comment: 0.042618999956175685
Info 104  [11:55:17.545] getCompletionData: Get previous token: 0.08247900009155273
Info 105  [11:55:17.546] getCompletionsAtPosition: isCompletionListBlocker: 0.0041699998546391726
Info 106  [11:55:17.560] getExportInfoMap: cache hit
Info 107  [11:55:17.573] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 3 from cache
Info 108  [11:55:17.573] collectAutoImports: response is complete
Info 109  [11:55:17.573] collectAutoImports: 3.767178000183776
Info 110  [11:55:17.573] getCompletionData: Semantic work: 27.796436000149697
Info 111  [11:55:17.587] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12.212190999882296
Info 112  [11:55:17.590] getCompletionData: Get current token: 0.025000000139698386
Info 113  [11:55:17.590] getCompletionData: Is inside comment: 0.04339899984188378
Info 114  [11:55:17.590] getCompletionData: Get previous token: 0.07412799983285367
Info 115  [11:55:17.590] getCompletionsAtPosition: isCompletionListBlocker: 0.07693899981677532
Info 116  [11:55:17.602] getExportInfoMap: cache hit
Info 117  [11:55:17.618] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 3 from cache
Info 118  [11:55:17.618] collectAutoImports: response is complete
Info 119  [11:55:17.618] collectAutoImports: 3.9817250000778586
Info 120  [11:55:17.618] getCompletionData: Semantic work: 27.636108999839053
Info 121  [11:55:17.626] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.041181000182405
Info 122  [11:55:17.629] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 123  [11:55:17.638] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 8.990202999906614ms
Info 124  [11:55:17.638] Different program with same set of files
Info 125  [11:55:17.672] getCompletionData: Get current token: 0.024179000174626708
Info 126  [11:55:17.672] getCompletionData: Is inside comment: 0.04185999999754131
Info 127  [11:55:17.672] getCompletionData: Get previous token: 0.07285899994894862
Info 128  [11:55:17.672] getCompletionsAtPosition: isCompletionListBlocker: 0.006559999892488122
Info 129  [11:55:17.686] getExportInfoMap: cache hit
Info 130  [11:55:17.704] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 2 from cache
Info 131  [11:55:17.705] collectAutoImports: response is complete
Info 132  [11:55:17.705] collectAutoImports: 5.849075000034645
Info 133  [11:55:17.705] getCompletionData: Semantic work: 32.556218000128865
Info 134  [11:55:17.715] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.132730999961495
Info 135  [11:55:17.721] getCompletionData: Get current token: 0.05944900005124509
Info 136  [11:55:17.721] getCompletionData: Is inside comment: 0.043179000029340386
Info 137  [11:55:17.721] getCompletionData: Get previous token: 0.07209899998269975
Info 138  [11:55:17.721] getCompletionsAtPosition: isCompletionListBlocker: 0.008819999871775508
Info 139  [11:55:17.733] getExportInfoMap: cache hit
Info 140  [11:55:17.746] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 2 from cache
Info 141  [11:55:17.746] collectAutoImports: response is complete
Info 142  [11:55:17.746] collectAutoImports: 3.1395189999602735
Info 143  [11:55:17.746] getCompletionData: Semantic work: 24.87273499998264
Info 144  [11:55:17.761] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 11.940014999825507
Info 145  [11:55:17.764] getCompletionData: Get current token: 0.02442999999038875
Info 146  [11:55:17.764] getCompletionData: Is inside comment: 0.04550900007598102
Info 147  [11:55:17.765] getCompletionData: Get previous token: 0.5818000000435859
Info 148  [11:55:17.765] getCompletionsAtPosition: isCompletionListBlocker: 0.00709000020287931
Info 149  [11:55:17.781] getExportInfoMap: cache hit
Info 150  [11:55:17.794] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 2 from cache
Info 151  [11:55:17.794] collectAutoImports: response is complete
Info 152  [11:55:17.794] collectAutoImports: 4.055852999910712
Info 153  [11:55:17.795] getCompletionData: Semantic work: 29.332661000080407
Info 154  [11:55:17.801] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5.055567000061274
Info 155  [11:55:17.804] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 156  [11:55:17.815] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 10.753904999932274ms
Info 157  [11:55:17.815] Different program with same set of files
Info 158  [11:55:17.850] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 159  [11:55:17.877] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 27.37563299993053ms
Info 160  [11:55:17.877] Different program with same set of files
Info 161  [11:55:17.935] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 162  [11:55:17.953] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 17.157130000181496ms
Info 163  [11:55:17.953] Different program with same set of files
Info 164  [11:55:18.030] getCompletionData: Get current token: 0.022080000024288893
Info 165  [11:55:18.030] getCompletionData: Is inside comment: 0.03593900008127093
Info 166  [11:55:18.030] getCompletionData: Get previous token: 0.05964899994432926
Info 167  [11:55:18.030] getCompletionsAtPosition: isCompletionListBlocker: 0.08831800008192658
Info 168  [11:55:18.041] getCompletionData: Semantic work: 11.178248000098392
Info 169  [11:55:18.048] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 4.216301000211388
Info 170  [11:55:18.051] getCompletionData: Get current token: 0.022569000022485852
Info 171  [11:55:18.051] getCompletionData: Is inside comment: 0.03692999994382262
Info 172  [11:55:18.052] getCompletionData: Get previous token: 0.3036449998617172
Info 173  [11:55:18.052] getCompletionsAtPosition: isCompletionListBlocker: 0.026188999880105257
Info 174  [11:55:18.062] getCompletionData: Semantic work: 9.786229999968782
Info 175  [11:55:18.067] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 3.0195309999398887
Info 176  [11:55:18.069] getCompletionData: Get current token: 0.021900000050663948
Info 177  [11:55:18.069] getCompletionData: Is inside comment: 0.03531900001689792
Info 178  [11:55:18.069] getCompletionData: Get previous token: 0.05711900000460446
Info 179  [11:55:18.069] getCompletionsAtPosition: isCompletionListBlocker: 0.014509999891743064
Info 180  [11:55:18.081] getCompletionData: Semantic work: 11.159577999962494
Info 181  [11:55:18.087] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 3.6465099998749793
Info 182  [11:55:18.089] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 183  [11:55:18.107] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 17.709630999946967ms
Info 184  [11:55:18.107] Different program with same set of files
Info 185  [11:55:18.168] getCompletionData: Get current token: 0.02048900001682341
Info 186  [11:55:18.169] getCompletionData: Is inside comment: 0.03419000003486872
Info 187  [11:55:18.169] getCompletionData: Get previous token: 0.052798999939113855
Info 188  [11:55:18.169] getCompletionsAtPosition: isCompletionListBlocker: 0.01549899997189641
Info 189  [11:55:18.174] getCompletionData: Semantic work: 5.724656000034884
Info 190  [11:55:18.177] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1.242219999898225
Info 191  [11:55:18.187] getCompletionData: Get current token: 0.019779999973252416
Info 192  [11:55:18.187] getCompletionData: Is inside comment: 0.03141900012269616
Info 193  [11:55:18.187] getCompletionData: Get previous token: 0.051349000073969364
Info 194  [11:55:18.187] getCompletionsAtPosition: isCompletionListBlocker: 0.011769999982789159
Info 195  [11:55:18.193] getCompletionData: Semantic work: 5.498470999998972
Info 196  [11:55:18.196] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 2.5400090001057833
Info 197  [11:55:18.198] getCompletionData: Get current token: 0.021680000005289912
Info 198  [11:55:18.198] getCompletionData: Is inside comment: 0.03472999995574355
Info 199  [11:55:18.198] getCompletionData: Get previous token: 0.10232899989932775
Info 200  [11:55:18.198] getCompletionsAtPosition: isCompletionListBlocker: 0.01644999999552965
Info 201  [11:55:18.205] getCompletionData: Semantic work: 6.306817000033334
Info 202  [11:55:18.207] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1.1421920000575483
Info 203  [11:55:18.208] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 204  [11:55:18.221] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 12.578225000062957ms
Info 205  [11:55:18.221] Different program with same set of files
Info 206  [11:55:18.243] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 207  [11:55:18.255] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 11.860406999941915ms
Info 208  [11:55:18.255] Different program with same set of files
Info 209  [11:55:18.277] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 210  [11:55:18.295] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 18.08595500001684ms
Info 211  [11:55:18.295] Different program with same set of files
Info 212  [11:55:18.324] getCompletionData: Get current token: 0.02279000007547438
Info 213  [11:55:18.324] getCompletionData: Is inside comment: 0.028019999852404
Info 214  [11:55:18.324] getCompletionData: Get previous token: 0.041770000010728836
Info 215  [11:55:18.324] getCompletionsAtPosition: isCompletionListBlocker: 0.01588999992236495
Info 216  [11:55:18.329] getCompletionData: Semantic work: 5.339513000100851
Info 217  [11:55:18.331] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.9011450000107288
Info 218  [11:55:18.334] getCompletionData: Get current token: 0.02154999994672835
Info 219  [11:55:18.334] getCompletionData: Is inside comment: 0.028449999867007136
Info 220  [11:55:18.334] getCompletionData: Get previous token: 0.04290000000037253
Info 221  [11:55:18.334] getCompletionsAtPosition: isCompletionListBlocker: 0.013948999810963869
Info 222  [11:55:18.339] getCompletionData: Semantic work: 4.235000999877229
Info 223  [11:55:18.341] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1.1732109999284148
Info 224  [11:55:18.342] getCompletionData: Get current token: 0.021320000058040023
Info 225  [11:55:18.342] getCompletionData: Is inside comment: 0.027439000084996223
Info 226  [11:55:18.342] getCompletionData: Get previous token: 0.041969999903813004
Info 227  [11:55:18.342] getCompletionsAtPosition: isCompletionListBlocker: 0.015860000159591436
Info 228  [11:55:18.346] getCompletionData: Semantic work: 3.9167160000652075
Info 229  [11:55:18.349] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 2.282983000157401
Info 230  [11:55:18.350] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 231  [11:55:18.359] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 8.099617999978364ms
Info 232  [11:55:18.359] Different program with same set of files
Info 233  [11:55:18.385] getCompletionData: Get current token: 0.02060899999924004
Info 234  [11:55:18.385] getCompletionData: Is inside comment: 0.028879999881610274
Info 235  [11:55:18.385] getCompletionData: Get previous token: 0.04167900001630187
Info 236  [11:55:18.385] getCompletionsAtPosition: isCompletionListBlocker: 0.015330000082030892
Info 237  [11:55:18.392] getCompletionData: Semantic work: 6.781539000105113
Info 238  [11:55:18.394] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.8693359999451786
Info 239  [11:55:18.396] getCompletionData: Get current token: 0.021169000072404742
Info 240  [11:55:18.396] getCompletionData: Is inside comment: 0.027920000022277236
Info 241  [11:55:18.396] getCompletionData: Get previous token: 0.043299000011757016
Info 242  [11:55:18.396] getCompletionsAtPosition: isCompletionListBlocker: 0.014459999976679683
Info 243  [11:55:18.400] getCompletionData: Semantic work: 3.9623060000594705
Info 244  [11:55:18.402] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.8518159999512136
Info 245  [11:55:18.404] getCompletionData: Get current token: 0.021518999943509698
Info 246  [11:55:18.404] getCompletionData: Is inside comment: 0.026529000140726566
Info 247  [11:55:18.404] getCompletionData: Get previous token: 0.03996900003403425
Info 248  [11:55:18.404] getCompletionsAtPosition: isCompletionListBlocker: 0.016139999963343143
Info 249  [11:55:18.408] getCompletionData: Semantic work: 4.307938999962062
Info 250  [11:55:18.410] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.924123999895528
Info 251  [11:55:18.411] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 252  [11:55:18.421] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 9.821551000000909ms
Info 253  [11:55:18.421] Different program with same set of files
Info 254  [11:55:18.451] getCompletionData: Get current token: 0.024770000018179417
Info 255  [11:55:18.451] getCompletionData: Is inside comment: 0.023849999997764826
Info 256  [11:55:18.451] getCompletionData: Get previous token: 0.04002000018954277
Info 257  [11:55:18.451] getCompletionsAtPosition: isCompletionListBlocker: 0.014069000026211143
Info 258  [11:55:18.456] getCompletionData: Semantic work: 4.709202999947593
Info 259  [11:55:18.458] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.8532159999012947
Info 260  [11:55:18.460] getCompletionData: Get current token: 0.021229999838396907
Info 261  [11:55:18.460] getCompletionData: Is inside comment: 0.02659899997524917
Info 262  [11:55:18.460] getCompletionData: Get previous token: 0.040219000075012445
Info 263  [11:55:18.460] getCompletionsAtPosition: isCompletionListBlocker: 0.013640000019222498
Info 264  [11:55:18.465] getCompletionData: Semantic work: 4.915258999913931
Info 265  [11:55:18.466] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.8451459999196231
Info 266  [11:55:18.468] getCompletionData: Get current token: 0.021749000065028667
Info 267  [11:55:18.468] getCompletionData: Is inside comment: 0.026988999918103218
Info 268  [11:55:18.468] getCompletionData: Get previous token: 0.04053900018334389
Info 269  [11:55:18.468] getCompletionsAtPosition: isCompletionListBlocker: 0.014710000017657876
Info 270  [11:55:18.472] getCompletionData: Semantic work: 3.91318599996157
Info 271  [11:55:18.473] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.8818459999747574
Info 272  [11:55:18.475] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 273  [11:55:18.481] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 6.373036000179127ms
Info 274  [11:55:18.481] Different program with same set of files
Info 275  [11:55:18.504] getCompletionData: Get current token: 0.02014999999664724
Info 276  [11:55:18.504] getCompletionData: Is inside comment: 0.024369999999180436
Info 277  [11:55:18.504] getCompletionData: Get previous token: 0.040818999987095594
Info 278  [11:55:18.504] getCompletionsAtPosition: isCompletionListBlocker: 0.014119999948889017
Info 279  [11:55:18.510] getCompletionData: Semantic work: 6.142659999895841
Info 280  [11:55:18.512] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.8681460001971573
Info 281  [11:55:18.517] getCompletionData: Get current token: 0.021899999817833304
Info 282  [11:55:18.518] getCompletionData: Is inside comment: 0.025980000151321292
Info 283  [11:55:18.518] getCompletionData: Get previous token: 0.04717999999411404
Info 284  [11:55:18.518] getCompletionsAtPosition: isCompletionListBlocker: 0.09431900014169514
Info 285  [11:55:18.523] getCompletionData: Semantic work: 5.067146999994293
Info 286  [11:55:18.525] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1.5776249999180436
Info 287  [11:55:18.527] getCompletionData: Get current token: 0.026310000102967024
Info 288  [11:55:18.527] getCompletionData: Is inside comment: 0.028159999987110496
Info 289  [11:55:18.527] getCompletionData: Get previous token: 0.04131000000052154
Info 290  [11:55:18.527] getCompletionsAtPosition: isCompletionListBlocker: 0.0185289999935776
Info 291  [11:55:18.531] getCompletionData: Semantic work: 4.449876999948174
Info 292  [11:55:18.534] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.8735349997878075
Info 293  [11:55:18.535] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 294  [11:55:18.542] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 7.2936499998904765ms
Info 295  [11:55:18.542] Different program with same set of files
Info 296  [11:55:18.567] getCompletionData: Get current token: 0.02066000015474856
Info 297  [11:55:18.567] getCompletionData: Is inside comment: 0.024160000029951334
Info 298  [11:55:18.568] getCompletionData: Get previous token: 0.04059000010602176
Info 299  [11:55:18.568] getCompletionsAtPosition: isCompletionListBlocker: 0.01297900010831654
Info 300  [11:55:18.574] getCompletionData: Semantic work: 6.104881000006571
Info 301  [11:55:18.576] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.8163170001935214
Info 302  [11:55:18.581] getCompletionData: Get current token: 0.022259999997913837
Info 303  [11:55:18.581] getCompletionData: Is inside comment: 0.026120000053197145
Info 304  [11:55:18.581] getCompletionData: Get previous token: 0.04093999997712672
Info 305  [11:55:18.581] getCompletionsAtPosition: isCompletionListBlocker: 0.013758999994024634
Info 306  [11:55:18.586] getCompletionData: Semantic work: 5.023257999913767
Info 307  [11:55:18.588] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.8039669999852777
Info 308  [11:55:18.589] getCompletionData: Get current token: 0.021840000059455633
Info 309  [11:55:18.589] getCompletionData: Is inside comment: 0.026778999948874116
Info 310  [11:55:18.589] getCompletionData: Get previous token: 0.04125899984501302
Info 311  [11:55:18.589] getCompletionsAtPosition: isCompletionListBlocker: 0.015159999951720238
Info 312  [11:55:18.593] getCompletionData: Semantic work: 3.5924809998832643
Info 313  [11:55:18.595] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.7978270000312477
Info 314  [11:55:18.596] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 315  [11:55:18.605] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false structureIsReused:: Completely Elapsed: 9.014922000002116ms
Info 316  [11:55:18.605] Different program with same set of files
Info 317  [11:55:18.631] getCompletionData: Get current token: 0.021428999956697226
Info 318  [11:55:18.631] getCompletionData: Is inside comment: 0.027149999979883432
Info 319  [11:55:18.631] getCompletionData: Get previous token: 0.040499000111594796
Info 320  [11:55:18.631] getCompletionsAtPosition: isCompletionListBlocker: 0.01412000018171966
Info 321  [11:55:18.636] getCompletionData: Semantic work: 4.882840999867767
Info 322  [11:55:18.638] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.8686359999701381
Info 323  [11:55:18.640] getCompletionData: Get current token: 0.020329999970272183
Info 324  [11:55:18.640] getCompletionData: Is inside comment: 0.02402999997138977
Info 325  [11:55:18.640] getCompletionData: Get previous token: 0.03690899978391826
Info 326  [11:55:18.641] getCompletionsAtPosition: isCompletionListBlocker: 0.111617999849841
Info 327  [11:55:18.646] getCompletionData: Semantic work: 5.488050000043586
Info 328  [11:55:18.648] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.7896370000671595
Info 329  [11:55:18.649] getCompletionData: Get current token: 0.021450000116601586
Info 330  [11:55:18.649] getCompletionData: Is inside comment: 0.0369100000243634
Info 331  [11:55:18.649] getCompletionData: Get previous token: 0.041268999921157956
Info 332  [11:55:18.649] getCompletionsAtPosition: isCompletionListBlocker: 0.02283899998292327
Info 333  [11:55:18.653] getCompletionData: Semantic work: 3.4515740000642836
